流id,端口id,开始发送时间
141,1,0
3,1,27
7,1,27
9,1,27
12,1,27
16,1,27
17,1,27
19,1,27
23,1,27
26,1,27
28,1,27
29,1,27
30,1,27
32,1,27
33,1,27
35,1,27
36,1,27
39,1,27
40,1,27
43,1,27
44,1,27
45,1,27
46,1,27
48,1,27
49,1,27
50,1,27
51,1,27
52,1,27
55,1,27
57,1,27
58,1,27
59,1,27
65,1,27
66,1,27
68,1,27
82,1,27
83,1,27
86,1,27
88,1,27
95,1,27
97,1,27
99,1,27
102,1,27
103,1,27
104,1,27
105,1,27
107,1,27
109,1,27
112,1,27
114,1,27
115,1,27
117,1,27
118,1,27
121,1,27
123,1,27
125,1,27
127,1,27
128,1,27
129,1,27
131,1,27
132,1,27
134,1,27
136,1,27
138,1,27
139,1,27
140,1,27
142,1,27
143,1,27
144,1,27
145,1,27
150,1,27
151,1,27
152,1,27
154,1,27
156,1,27
158,1,27
160,1,27
161,1,27
164,1,27
165,1,27
167,1,27
169,1,27
172,1,27
174,1,27
175,1,27
179,1,27
180,1,27
184,1,27
186,1,27
187,1,27
189,1,27
190,1,27
192,1,27
198,1,27
199,1,27
200,1,27
205,1,27
206,1,27
207,1,27
211,1,27
212,1,27
219,1,27
221,1,27
222,1,27
223,1,27
224,1,27
225,1,27
226,1,27
228,1,27
229,1,27
230,1,27
233,1,27
236,1,27
237,1,27
238,1,27
241,1,27
242,1,27
243,1,27
244,1,27
249,1,27
250,1,27
251,1,27
253,1,27
254,1,27
258,1,27
263,1,27
266,1,27
267,1,27
268,1,27
270,1,27
274,1,27
278,1,27
279,1,27
280,1,27
286,1,27
294,1,27
295,1,27
296,1,27
297,1,27
302,1,27
305,1,27
309,1,27
311,1,27
312,1,27
313,1,27
314,1,27
316,1,27
317,1,27
319,1,27
320,1,27
321,1,27
324,1,27
326,1,27
329,1,27
330,1,27
338,1,27
339,1,27
340,1,27
343,1,27
344,1,27
345,1,27
346,1,27
347,1,27
348,1,27
349,1,27
351,1,27
352,1,27
353,1,27
355,1,27
357,1,27
358,1,27
361,1,27
362,1,27
367,1,27
368,1,27
369,1,27
376,1,27
377,1,27
378,1,27
379,1,27
380,1,27
385,1,27
387,1,27
389,1,27
390,1,27
391,1,27
395,1,27
398,1,27
402,1,27
405,1,27
406,1,27
408,1,27
409,1,27
411,1,27
412,1,27
414,1,27
415,1,27
416,1,27
419,1,27
421,1,27
425,1,27
426,1,27
431,1,27
432,1,27
433,1,27
437,1,27
439,1,27
440,1,27
443,1,27
446,1,27
447,1,27
448,1,27
453,1,27
454,1,27
455,1,27
456,1,27
458,1,27
459,1,27
460,1,27
461,1,27
462,1,27
463,1,27
464,1,27
465,1,27
466,1,27
470,1,27
471,1,27
473,1,27
479,1,27
480,1,27
481,1,27
482,1,27
483,1,27
485,1,27
490,1,27
491,1,27
492,1,27
497,1,27
499,1,27
502,1,27
503,1,27
504,1,27
506,1,27
507,1,27
508,1,27
511,1,27
513,1,27
516,1,27
517,1,27
518,1,27
521,1,27
523,1,27
525,1,27
526,1,27
529,1,27
531,1,27
533,1,27
537,1,27
538,1,27
539,1,27
540,1,27
542,1,27
543,1,27
544,1,27
545,1,27
546,1,27
549,1,27
553,1,27
554,1,27
556,1,27
559,1,27
560,1,27
561,1,27
562,1,27
563,1,27
565,1,27
568,1,27
571,1,27
572,1,27
573,1,27
574,1,27
575,1,27
576,1,27
579,1,27
581,1,27
582,1,27
587,1,27
588,1,27
589,1,27
592,1,27
593,1,27
595,1,27
596,1,27
598,1,27
600,1,27
603,1,27
604,1,27
606,1,27
607,1,27
610,1,27
612,1,27
613,1,27
614,1,27
615,1,27
616,1,27
618,1,27
620,1,27
621,1,27
623,1,27
626,1,27
628,1,27
629,1,27
630,1,27
631,1,27
632,1,27
634,1,27
635,1,27
638,1,27
639,1,27
640,1,27
642,1,27
643,1,27
644,1,27
645,1,27
646,1,27
651,1,27
653,1,27
654,1,27
656,1,27
657,1,27
658,1,27
659,1,27
660,1,27
664,1,27
665,1,27
667,1,27
668,1,27
672,1,27
674,1,27
675,1,27
676,1,27
678,1,27
680,1,27
681,1,27
687,1,27
691,1,27
693,1,27
694,1,27
695,1,27
696,1,27
697,1,27
698,1,27
699,1,27
700,1,27
703,1,27
705,1,27
706,1,27
707,1,27
708,1,27
709,1,27
710,1,27
712,1,27
715,1,27
716,1,27
717,1,27
718,1,27
720,1,27
722,1,27
723,1,27
724,1,27
725,1,27
726,1,27
727,1,27
728,1,27
731,1,27
732,1,27
733,1,27
735,1,27
737,1,27
738,1,27
740,1,27
742,1,27
743,1,27
745,1,27
749,1,27
750,1,27
751,1,27
752,1,27
753,1,27
754,1,27
758,1,27
759,1,27
760,1,27
762,1,27
763,1,27
764,1,27
765,1,27
767,1,27
768,1,27
771,1,27
779,1,27
781,1,27
782,1,27
783,1,27
786,1,27
788,1,27
794,1,27
795,1,27
796,1,27
797,1,27
798,1,27
800,1,27
801,1,27
802,1,27
806,1,27
807,1,27
808,1,27
809,1,27
810,1,27
812,1,27
813,1,27
814,1,27
815,1,27
816,1,27
817,1,27
818,1,27
819,1,27
822,1,27
823,1,27
825,1,27
826,1,27
828,1,27
829,1,27
830,1,27
832,1,27
833,1,27
834,1,27
836,1,27
840,1,27
842,1,27
847,1,27
851,1,27
852,1,27
854,1,27
858,1,27
860,1,27
861,1,27
862,1,27
865,1,27
868,1,27
869,1,27
870,1,27
871,1,27
872,1,27
873,1,27
875,1,27
878,1,27
